,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,uBB,1B,PA,R/PA,league_scalar,lgID,lg_PA,lg_wRC,park_factor,playerID,player_season,stint,teamID,w1B,w2B,w3B,wHBP,wHR,wuBB,yearID,year_lg,year_team,year_wOBA,year_wOBAScale,wOBA,wRAA,wRC+,wRC+_t-1,is_signed,is_unsigned,is_fa,service_time
abadan01_2006,5,3,0,0,0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,5.0,0.126,0.13077833178399392,NL,94664,12380,102,abadan01,abadan01_2006,1,CIN,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_NL,2006_CIN,0.332,1.17,0.2832,-0.20854700854700858,62.526105949767334,,True,False,True,
abercre01_2006,111,255,39,54,12,2,5,24.0,6.0,5.0,18,78.0,2.0,3.0,4.0,1.0,2.0,16.0,35,281.0,0.126,0.13077833178399392,NL,94664,12380,98,abercre01,abercre01_2006,1,FLO,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_NL,2006_FLO,0.332,1.17,0.2638,-16.37965811965813,53.701099219861064,,False,False,False,
abercre01_2007,35,76,16,15,3,0,2,5.0,7.0,1.0,2,22.0,0.0,2.0,0.0,0.0,1.0,2.0,10,80.0,0.124,0.1298514362562777,NL,95178,12359,99,abercre01,abercre01_2007,1,FLO,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_NL,2007_FLO,0.331,1.192,0.2452625,-5.754194630872485,41.056586396838206,53.701099219861064,False,False,False,
abercre01_2008,34,55,10,17,5,0,2,5.0,5.0,2.0,1,23.0,0.0,2.0,1.0,1.0,0.0,1.0,10,60.0,0.12,0.12559485326069675,NL,94351,11850,98,abercre01,abercre01_2008,1,HOU,0.8959999999999999,1.2590000000000001,1.587,0.7390000000000001,2.024,0.708,2008,2008_NL,2008_HOU,0.32799999999999996,1.2109999999999999,0.3642203389830508,1.7945667539083814,121.27045172967787,41.056586396838206,True,False,True,
abreubo01_2006,156.0,548.0,98.0,163.0,41.0,2.0,15.0,107.0,30.0,6.0,124.0,138.0,6.0,3.0,2.0,9.0,13.0,118.0,105.0,686.0,0.126,0.13020036180930641,MULT,87359,11285,101.27696793002916,abreubo01,abreubo01_2006,2,MULT,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_AL,2006_NYA,0.332,1.17,0.38753687315634217,32.56264528653907,131.99535775024074,,False,False,False,9.165
abreubo01_2007,158,605,123,171,40,5,16,101.0,25.0,8.0,84,115.0,0.0,3.0,0.0,7.0,11.0,84.0,110,699.0,0.124,0.12542717703130535,AL,87493,10974,100,abreubo01,abreubo01_2007,1,NYA,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_AL,2007_NYA,0.331,1.192,0.35834907010014305,16.037751677852334,117.1547141800679,131.99535775024074,False,False,False,10.165
abreubo01_2008,156,609,100,180,39,4,20,100.0,22.0,11.0,73,109.0,2.0,1.0,0.0,1.0,14.0,71.0,117,684.0,0.12,0.12325895720700082,AL,87304,10761,100,abreubo01,abreubo01_2008,1,NYA,0.8959999999999999,1.2590000000000001,1.587,0.7390000000000001,2.024,0.708,2008,2008_AL,2008_NYA,0.32799999999999996,1.2109999999999999,0.3691612903225807,23.248821288724397,124.93169526776619,117.1547141800679,True,False,True,11.165
abreubo01_2009,152,563,96,165,29,3,15,103.0,30.0,8.0,94,113.0,7.0,1.0,0.0,9.0,15.0,87.0,118,667.0,0.12,0.12482370343190652,AL,87211,10886,99,abreubo01,abreubo01_2009,1,LAA,0.895,1.258,1.585,0.737,2.023,0.7070000000000001,2009,2009_AL,2009_LAA,0.32899999999999996,1.21,0.3627848484848485,18.62354871024295,119.46558088265714,124.93169526776619,False,False,False,12.165
abreubo01_2010,154,573,88,146,41,1,20,78.0,24.0,10.0,87,132.0,3.0,2.0,0.0,5.0,13.0,84.0,84,667.0,0.115,0.11770830923016405,AL,86434,10174,96,abreubo01,abreubo01_2010,1,LAA,0.895,1.27,1.608,0.732,2.072,0.701,2010,2010_AL,2010_LAA,0.321,1.251,0.34735843373493974,14.053617347086176,119.50718857071435,119.46558088265714,False,False,False,13.165
abreubo01_2011,142,502,54,127,30,1,8,60.0,21.0,5.0,78,113.0,5.0,1.0,1.0,3.0,8.0,73.0,88,585.0,0.11199999999999999,0.11638486265681029,AL,86171,10029,96,abreubo01,abreubo01_2011,1,LAA,0.89,1.27,1.611,0.726,2.086,0.6940000000000001,2011,2011_AL,2011_LAA,0.316,1.264,0.32142832469775473,2.5123179969830027,103.7717087270509,119.50718857071435,False,False,False,14.165
abreubo01_2012,100.0,219.0,29.0,53.0,11.0,1.0,3.0,24.0,6.0,2.0,37.0,56.0,3.0,0.0,0.0,1.0,7.0,34.0,38.0,257.0,0.114,0.11892923489231583,MULT,85797,10032,95.89494163424123,abreubo01,abreubo01_2012,1,MULT,0.884,1.2570000000000001,1.5930000000000002,0.722,2.0580000000000003,0.691,2012,2012_AL,2012_LAA,0.315,1.245,0.30976377952755907,-1.0808904910982489,96.25384966476696,103.7717087270509,False,True,True,15.147
