Rk,Name,Age,From Team,WAR3,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,Pos
3,Justin Morneau\morneju01,35,COL,5.4,1487,6174,5496,756,1550,335,22,241,960,5,10,561,936,.282,.349,.483,.832,1B-DH
8,Everth Cabrera\cabreev01,29,SFG,2.6,510,2068,1829,228,450,73,20,12,132,138,38,175,432,.246,.315,.328,.643,SS
9,David DeJesus\dejesda01,36,LAA,2.5,1472,5916,5220,740,1434,288,65,99,573,66,62,510,838,.275,.349,.412,.761,OF-DH
10,Torii Hunter\hunteto01,40,MIN,2.3,2372,9692,8857,1296,2452,498,39,353,1391,195,99,661,1741,.277,.331,.461,.793,OF-DH
14,Tsuyoshi Wada\wadats01,35,CHC,1.8,20,33,28,1,1,0,0,0,0,0,0,2,15,.036,.100,.036,.136,
16,Aramis Ramirez\ramirar01,38,PIT,1.6,2194,8986,8136,1098,2303,495,24,386,1417,29,18,633,1238,.283,.341,.492,.833,3B
17,Alex Rios\riosal01,35,KCR,1.5,1691,6929,6419,885,1778,374,63,169,794,253,77,400,1117,.277,.321,.434,.755,OF
21,Josh Wilson\wilsojo03,35,DET,0.8,431,1190,1095,104,251,54,7,10,84,14,4,54,247,.229,.280,.319,.599,SS-2B-3B
23,Wilin Rosario\rosarwi01,27,COL,0.6,447,1601,1512,204,413,83,3,71,241,11,7,73,354,.273,.306,.473,.779,C-1B
24,Brian Bogusevic\bogusbr01,32,PHI,0.4,321,834,748,93,178,36,4,19,67,24,7,72,204,.238,.311,.373,.684,OF
26,Yohan Pino\pinoyo01,32,KCR,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
27,Brett Bochy\bochybr02,28,SFG,0.1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
29,Jose De Paula\depaujo02,28,NYY,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
30,Marcus Hatley\hatlema01,28,STL,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
34,Cody Stanley\stanlco01,27,STL,0.0,9,10,10,2,4,1,0,0,3,0,0,0,3,.400,.400,.500,.900,
35,Travis Tartamella\tartatr01,28,STL,0.0,3,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,
39,Erik Cordier\cordier01,30,MIA,-0.2,15,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
40,Matt Hague\haguema01,30,TOR,-0.2,43,91,84,6,19,3,0,0,7,1,0,5,19,.226,.286,.262,.548,
41,Juan Jaime\jaimeju01,28,LAD,-0.2,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
42,Danny Dorn\dornda01,31,TOR,-0.3,23,32,30,0,5,1,0,0,3,0,0,2,10,.167,.219,.200,.419,
43,Kevin Frandsen\frandke01,34,SFG,-0.3,514,1363,1246,134,322,57,5,15,110,7,5,64,128,.258,.312,.348,.660,2B-3B-1B-OF-SS
44,Hector Gomez\gomezhe01,28,SDP,-0.3,83,162,153,18,28,12,2,1,8,0,0,5,51,.183,.219,.307,.526,
45,Jonathan Herrera\herrejo03,31,CHC,-0.3,490,1345,1200,136,311,34,10,10,89,18,13,96,196,.259,.316,.329,.645,2B-SS-3B
46,Brent Morel\morelbr01,29,OAK,-0.3,220,717,662,72,150,26,1,13,59,12,6,40,132,.227,.273,.328,.601,3B
47,Jamie Romak\romakja01,30,ARI,-0.3,27,39,36,4,6,3,0,0,4,0,0,3,14,.167,.231,.250,.481,
51,Grady Sizemore\sizemgr01,33,TBR,-0.4,1101,4724,4147,660,1098,252,47,150,518,143,47,483,952,.265,.349,.457,.806,OF-DH
52,Jonny Gomes\gomesjo01,35,KCR,-0.5,1203,4009,3456,495,835,157,14,162,526,50,24,417,1088,.242,.333,.436,.769,OF-DH
53,Jason Pridie\pridija01,32,OAK,-0.5,133,276,245,33,53,12,3,5,24,7,1,26,73,.216,.290,.351,.641,OF
54,Sugar Ray Marimon\marimsu01,27,ATL,-0.6,14,7,6,0,2,0,0,0,0,0,0,1,3,.333,.429,.333,.762,
57,Corey Hart\hartco01,34,PIT,-1.0,1048,4114,3729,549,1009,221,33,162,538,85,40,286,853,.271,.329,.478,.806,OF-1B-DH
62,Dan Uggla\ugglada01,36,WSN,-2.7,1346,5509,4759,759,1149,238,18,235,706,26,21,626,1341,.241,.336,.447,.783,2B
