Player,Club,Pos,service_time
"Maddux,Greg",SD,sp,21.021
"Glavine,Tom",ATL,sp,20.052
"Moyer,Jamie",PHI,lhp,19.126
"Smoltz,John",ATL,sp,19.072
"Sheffield,Gary",DET,of,19.031
"Gordon,Tom",PHI,rhp,19.026
"Johnson,Randy",ARZ,p,19.020
"Griffey Jr.,Ken",CIN,of,19.000
"Rogers,Kenny",DET,sp,19.000
"Vizquel,Omar",SF,ss,18.130
"Stanton,Mike",CIN,rp,18.039
"Schilling,Curt",BOS,sp,17.134
"Thomas,Frank",TOR,1b-dh,17.063
"Alou,Moises",NYM,of,17.037
"Timlin,Mike",BOS,rp,17.000
"Rodriguez,Ivan",DET,c,16.109
"Mussina,Mike",NYY,sp,16.066
"Kent,Jeff",LAD,2b,16.000
"Thome,Jim",CWS,1b,15.042
"Martinez,Pedro J.",NYM,rhp,15.026
"Hoffman,Trevor",SD,rp,15.000
"Williams,Woody",HOU,sp,14.143
"Easley,Damion",NYM,2b,14.117
"Jones,Todd",DET,rp,14.089
"Hampton,Mike",ATL,sp,14.073
"Ausmus,Brad",HOU,c,14.070
"Weathers,David",CIN,rp,14.044
"Gomez,Chris",PIT,inf,14.041
"Ramirez,Manny",BOS,of-dh,14.033
"Edmonds,Jim",SD,of,14.027
"Jones,Chipper",ATL,3b,14.024
"Wakefield,Tim",BOS,sp-rp,14.006
"Floyd,Cliff",TB,of,13.170
"Guardado,Eddie",TEX,rp,13.141
"Brocail,Doug",HOU,rp,13.134
"Lieber,Jon",CHC,p,13.077
"Tavarez,Julian",BOS,rp,13.066
"Embree,Alan",OAK,rp,13.059
"Anderson,Garret",LAA,of,13.049
"Rodriguez,Alex",NYY,ss,13.011
"Delgado,Carlos",NYM,1b,13.002
"Durham,Ray",SF,2b,13.000
"Pettitte,Andy",NYY,sp,13.000
"Grudzielanek,Mark",KCA,ss-2b,12.129
"Springer,Russ",STL,p,12.128
"Oliver,Darren",LAA,sp,12.127
"Rivera,Mariano",NYY,rp,12.105
"Percival,Troy",TB,rp,12.097
"Giambi,Jason",NYY,1b,12.095
"Zaun,Gregg",TOR,c,12.093
"Stairs,Matt",TOR,1b-of,12.077
"Schmidt,Jason",LAD,sp,12.063
"Loaiza,Esteban",LAD,rp,12.052
"Damon,Johnny",NYY,of,12.051
"Jeter,Derek",NYY,ss,12.043
"Isringhausen,Jason",STL,rp,12.031
"Aurilia,Rich",SF,inf,12.027
"Loretta,Mark",HOU,ss,12.011
"Kendall,Jason",MIL,c,12.000
"Stinnett,Kelly",STL,c,11.149
"Renteria,Edgar",DET,ss,11.143
"Wagner,Billy",NYM,lhp,11.139
"Giles,Brian",SD,of,11.096
"Posada,Jorge",NYY,c,11.085
"Dye,Jermaine",CWS,of,11.084
"Erstad,Darin",HOU,of,11.077
"Byrd,Paul",CLE,p,11.072
"Hatteberg,Scott",CIN,c-1b,11.070
"Rolen,Scott",TOR,3b,11.060
"Hawkins,LaTroy",NYY,rp,11.054
"Jones,Andruw",LAD,of,11.047
"Cameron,Mike",MIL,of,11.036
"Garciaparra,Nomar",LAD,ss,11.030
"Castro,Juan",CIN,inf,11.024
"Guerrero,Vladimir",LAA,of,11.018
"Young,Dmitri",WAS,of,11.008
"Morris,Matt",PIT,sp,11.000
"Abreu,Bobby",NYY,of,10.165
"Suppan,Jeff",MIL,sp,10.164
"Spiezio,Scott",STL,inf,10.130
"Kline,Steve",SF,rp,10.115
"Lowe,Derek",LAD,p,10.100
"Carpenter,Chris",STL,sp,10.080
"Helton,Todd",COL,1b,10.059
"Millwood,Kevin",TEX,sp,10.059
"Castillo,Luis",NYM,2b,10.055
"Guillen,Jose",KCA,of,10.051
"Batista,Miguel",SEA,sp,10.045
"Vidro,Jose",SEA,2b,10.042
"Escobar,Kelvim",LAA,p,10.040
"Counsell,Craig",MIL,inf,10.037
"Tejada,Miguel",HOU,ss,10.033
"Ordonez,Magglio",DET,of,10.032
"Tomko,Brett",KCA,p,10.027
"Cairo,Miguel",SEA,inf,10.023
"Ibanez,Raul",SEA,of,10.020
"Varitek,Jason",BOS,c,10.020
"Kotsay,Mark",ATL,of,10.018
"Catalanotto,Frank",TEX,2b,9.171
"Wood,Kerry",CHC,sp,9.169
"Pavano,Carl",NYY,p,9.161
"Konerko,Paul",CWS,1b-of,9.141
"Vazquez,Javier",CWS,rhp,9.141
"Blanco,Henry",CHC,c,9.136
"Millar,Kevin",BAL,1b-of,9.136
